_id,address,company_name,email,phone_number,url
60cb2e1ecb87d4e55380219e,Po Box 8879 Salmiya,Al Sherean Gtarage,null,"[""965 4739945""]",null
60cb2e1ecb87d4e55380219f,"P.O.Box: 8322, Salmiya 22054",AL MESNAD & AL MONA CO WLL,null,"[""9652416194""]",null
60cb2e1ecb87d4e5538021a0,,Al Sheraa Meats Company,null,"[""965 2402192""]",null
60cb2e1ecb87d4e5538021a1,,Al Sharhan Establishment,null,"[""965 4830585""]",null
60cb2e1ecb87d4e5538021a2,,Al Shaye & Abdul Malik Trading Company,null,"[""965 4761759""]",null
60cb2e1ecb87d4e5538021a3,"Po Box 44953 32064, , Kuwait",Al Nahar Trading & Contracting Establishment,null,"[""965 2618342""]",null
60cb2e1fcb87d4e5538021a4,P.O.Box: 6192; 32036 Kuwait City,AL MUAID TRADING CO,null,"[""9654839911""]",null
60cb2e1fcb87d4e5538021a5,,Ard-Al Hanan Establishment,null,"[""965 4727779""]",null
60cb2e1fcb87d4e5538021a6,,Sari House Company,null,"[""965 2406002""]",null
60cb2e1fcb87d4e5538021a7,,"Lou'Lou' At Al Wady",null,"[""965 4830407""]",null
60cb2e1fcb87d4e5538021a8,,First Trading & Contracting Group,null,"[""965 2437731""]",null
60cb2e20cb87d4e5538021a9,,Mohd Bin Al Nasif & Partners Company,null,"[""965 4819747""]",null
60cb2e20cb87d4e5538021aa,,Pinar Meat Center,null,"[""965 4836713""]",null
60cb2e20cb87d4e5538021ab,,R Al Sawagh General Trading Establishment,null,"[""965 3924433""]",null
60cb2e20cb87d4e5538021ac,Po Box 43186 Safat,Abdulhadi Al-Saffar Sons Trading Company,null,[],null
60cb2e20cb87d4e5538021ad,,United Qairwan Trading & Contracting Company,null,"[""965 2430983""]",null
60cb2e20cb87d4e5538021ae,Po Box 13037 70951 Safat,Abdulla Al Hamdan Trading Establishment,null,[],null
60cb2e20cb87d4e5538021af,,United Gulf Enterprises,null,"[""965 2413521""]",null
60cb2e20cb87d4e5538021b0,,Le Village,null,"[""965 2655557""]",null
60cb2e20cb87d4e5538021b1,Po Box 2343 13024 Safat,Abdulla Abdul Rahman Al Hadiaq Trade Company,null,[],null
60cb2e21cb87d4e5538021b2,Po Box 48605 54553 Safat,Abdull M. Al Hajeri Trading Establishment,null,[],null
60cb2e21cb87d4e5538021b3,Po Box 42492 70655 Safat,Abdul Hameed Bograce Company,null,[],null
60cb2e21cb87d4e5538021b4,Po Box 658 13007 Safat,Abdul Rahman Ruwayeh Fahad Huwal Company,null,[],null
60cb2e21cb87d4e5538021b5,Po Box 273 13003 Safat,Abbas Ali Hazem Sons Company,null,[],null
60cb2e21cb87d4e5538021b6,Po Box 1207 13013 Safat,Abdul Rahman Mansour Al Zamel Sons,null,[],null
60cb2e21cb87d4e5538021b7,Po Box 9291 61003 Safat,Abdul Rahman Al Qumlas Establishments,null,[],null
60cb2e21cb87d4e5538021b8,Po Box 25500 13115 Safat,Abdul Aziz Abdulla Sons General Trading Company,null,[],null
60cb2e21cb87d4e5538021b9,Po Box 3644 13037 Safat,Yousuf & Izzat & Partners Trading Company,null,"[""965 2458416""]",null
60cb2e22cb87d4e5538021ba,Po Box 330 32004 Safat,Abdul Karim Al-Yousufi Partners,null,[],null
60cb2e22cb87d4e5538021bb,,Zouf Company,null,"[""965 2431485""]",null
60cb2e22cb87d4e5538021bc,,Zeyad D Musaad Al Saleh Trading & Contracting Company,null,"[""965 4736002""]",null
60cb2e22cb87d4e5538021bd,,Yoro General Trading & Contracting Company,null,"[""965 2402288""]",null
60cb2e22cb87d4e5538021be,,Yousuf Al Aduwaisan Exhibition,null,"[""965 2433045""]",null
60cb2e22cb87d4e5538021bf,,Winning Deal General Trading & Cont,null,"[""965 2438722""]",null
60cb2e22cb87d4e5538021c0,,White Stores Company W.L.L.,null,"[""965 4848355""]",null
60cb2e22cb87d4e5538021c1,,Yousif Al Dawass Company,null,"[""965 4347639""]",null
60cb2e22cb87d4e5538021c2,Po Box 448 13005 Safat,Yousif Al Kamal Establishment,null,"[""965 4835190""]",null
60cb2e22cb87d4e5538021c3,Po Box 4043 22041 Safat,White Center General Trading & Contracting Company,null,"[""965 5656399""]",null
60cb2e22cb87d4e5538021c4,Po Box 9162 61002 Ahmadi,Warqa Al Khaleej General Trading & Contracting Establishment,null,"[""965 3922712""]",null
60cb2e22cb87d4e5538021c5,,Wardat Al Khaleej Exhibition,null,"[""965 2450268""]",null
60cb2e23cb87d4e5538021c6,Po Box 42038 Shuaiba,Yacoub Yousuf Al Nasrallah Establishment,null,"[""965 4815909""]",null
60cb2e23cb87d4e5538021c7,,Wadi Al Rayan Elec Appliances Establishment,null,"[""965 4722691""]",null
60cb2e23cb87d4e5538021c8,,United Fiberglass Company,null,"[""965 3903673""]",null
60cb2e23cb87d4e5538021c9,"Po Box 64363 Shuwaikh, , Kuwait",Wara Group General Trade & Contracting Company,null,"[""965 2450433""]",null
60cb2e23cb87d4e5538021ca,,Wadi Al Samaiel Tradg Establishment,null,"[""965 4812288""]",null
60cb2e23cb87d4e5538021cb,"P.O.Box: 5520, Safat 13056, , Kuwait",VTEC INTERNATIONAL GENERAL TRD & CONT CO,null,"[""9654757614""]",null
60cb2e24cb87d4e5538021cc,"P.O.Box: 24664, Safat 1307, , Kuwait",UTILITIES DEVELOPMENT CO,null,"[""9654756533""]",null
60cb2e24cb87d4e5538021cd,,United Engineering Industrial Establishment,null,"[""965 2434160""]",null
60cb2e25cb87d4e5538021ce,"P.O.Box: 2159, Safat 13022, , Kuwait",THE TRADING & INDUSTRIAL EQUIPMENT CO,null,"[""9654819188"",""4849261""]",null
60cb2e25cb87d4e5538021cf,,Thabet Taher Ahmad Bu Hamad Exhibition,null,"[""965 2460088""]",null
60cb2e25cb87d4e5538021d0,,Wael Al Nusif Trading & Company W.L.L.,null,"[""965 4735050""]",null
60cb2e25cb87d4e5538021d1,"Sharjeel Street, Hawally",Tulip Gold Gen. Trad. & Cont. Co,null,"[""22625225""]",null
60cb2e25cb87d4e5538021d2,,Taiyebat Meat Shop,null,"[""965 2455522""]",null
60cb2e25cb87d4e5538021d3,,Trawal Company,null,"[""965 2427435""]",null
60cb2e25cb87d4e5538021d4,,Technical Lathe,null,"[""965 4817027""]",null
60cb2e25cb87d4e5538021d5,,Tehnical Establishment Insulation & Water,null,"[""965 2408955""]",null
60cb2e26cb87d4e5538021d6,,Sultan Al Deera Exhibition,null,"[""965 4824887""]",null
60cb2e26cb87d4e5538021d7,,Steel Workshop,null,"[""965 4817458""]",null
60cb2e26cb87d4e5538021d8,"Al Magateer Complex, 2nd Floor Office No-16, Farwania",Specail Security Co General Trading & Cont.,null,"[""24773000""]",null
60cb2e26cb87d4e5538021d9,,Shebeeb Sl Ajmi General Trading & Contracting Establishment,null,"[""965 4736909""]",null
60cb2e27cb87d4e5538021da,,Sorour Al Kuwait Establishment,null,"[""965 4314656""]",null
60cb2e27cb87d4e5538021db,,Spanish Lighting Central Market Company,null,"[""965 2669240""]",null
60cb2e27cb87d4e5538021dc,,Shorouq Pack Company,null,"[""965 2467185""]",null
60cb2e27cb87d4e5538021dd,,"Shoa'Al Noor General Trading & Cont",null,"[""965 2443034""]",null
60cb2e27cb87d4e5538021de,Po Box 3333 13034 Safat,Tala Trading Company,null,"[""965 5751425""]",null
60cb2e27cb87d4e5538021df,,"Shaima'A Trading & Contracting Establishment",null,"[""965 2422003""]",null
60cb2e27cb87d4e5538021e0,Po Box 2657 13121 Safat,Shanasheel,null,"[""965 2402380""]",null
60cb2e27cb87d4e5538021e1,,Shamalco Trading & Contracting Company W.L.L.,null,"[""965 2439634""]",null
60cb2e27cb87d4e5538021e2,,Shad Trading & General Contracting Company W.L.L.,null,"[""965 2407152""]",null
60cb2e28cb87d4e5538021e3,,Shahriya General Trading & Contracting Establishment,null,"[""965 2422003""]",null
60cb2e28cb87d4e5538021e4,Po Box 19324 83805 Khaitan,Shalahi Establishment,null,"[""965 4312428""]",null
60cb2e28cb87d4e5538021e5,,Scientific Projects Company,null,"[""965 2407027""]",null
60cb2e28cb87d4e5538021e6,Po Box 24126 13102 Safat,Saud Al Shatti Trading Establishment,null,"[""965 2440197""]",null
60cb2e28cb87d4e5538021e7,,Saud Abdul Aziz Abdulla Abdullatif Al Khulaifi Butchery,null,"[""965 4837655""]",null
60cb2e28cb87d4e5538021e8,,Hamed Khalid Bin Hamed Office,null,"[""965 2465073""]",null
60cb2e28cb87d4e5538021e9,,Hamad Al Othman Trading Company,null,"[""965 2644770""]",null
60cb2e29cb87d4e5538021ea,,Senator General Trading & General Establishment,null,"[""965 2460980""]",null
60cb2e29cb87d4e5538021eb,,Halaf Al Harbi Trading Establishment,null,"[""965 3925579""]",null
60cb2e29cb87d4e5538021ec,,Hamad Al Fahed Sons,null,"[""965 4730680""]",null
60cb2e29cb87d4e5538021ed,,Hamad Abdullah Bu-Hasan Sons Company,null,"[""965 4819764""]",null
60cb2e29cb87d4e5538021ee,,Hamad Al Establishmentsa & Sons Establishment,null,"[""965 2425171""]",null
60cb2e2acb87d4e5538021ef,,Hadiya Bridge Establishment,null,"[""965 3917141""]",null
60cb2e2acb87d4e5538021f0,,Haji Haider Behbehani Company,null,"[""965 2440840""]",null
60cb2e2acb87d4e5538021f1,"P.O.Box: 29457, Safat 13154, , Kuwait",GULF TRADING HOUSE GENERAL TRADING & CONTG CO WLL,null,"[""9652405381"",""2466359""]",null
60cb2e2acb87d4e5538021f2,,Hadramout Industrial Equepment Exhibition,null,"[""965 4838564""]",null
60cb2e2acb87d4e5538021f3,Po Box 28270 13153 Safat,Gulf Support General Trading Company,null,"[""965 4810556""]",null
60cb2e2acb87d4e5538021f4,"P.O.Box: 24410, Shuwaikh, Area 3 - Plot J, Safat 13105, , Kuwait",GULF SUPPLY CO LTD,null,"[""9654810322"",""4844257""]",null
60cb2e2acb87d4e5538021f5,,Gulf Springs General Trading & Cont,null,"[""965 2628754""]",null
60cb2e2acb87d4e5538021f6,Po Box 29289 13153 Safat,Gulf Resources Corp For Electrical Switchgear,null,"[""965 4837749""]",null
60cb2e2bcb87d4e5538021f7,Po Box 24304 13104 Safat,Gulf Machinery Company Limited,null,"[""965 4811035""]",null
60cb2e2bcb87d4e5538021f8,Po Box 9735 61008 Ahmadi,Gulf International General Trading & Contracting Company Limited,null,"[""965 3983501""]",null
60cb2e2bcb87d4e5538021f9,Po Box 213 13003 Safat,Golden Desert Company,null,"[""965 4747048""]",null
60cb2e2bcb87d4e5538021fa,,Gulf Cattle Company,null,"[""965 4841176""]",null
60cb2e2bcb87d4e5538021fb,Po Box 4848 13049 Safat,Guide Trading & Contracting,null,"[""965 5719195""]",null
60cb2e2bcb87d4e5538021fc,,Gulf Decoration & Trading Company W.L.L.,null,"[""965 2444202""]",null
60cb2e2bcb87d4e5538021fd,Po Box 32268 Ras Al Salmiya,Green Line,null,"[""965 5710133""]",null
60cb2e2bcb87d4e5538021fe,,Golden Sunrise Center General Trading & Contracting Company,null,"[""965 5755361""]",null
60cb2e2bcb87d4e5538021ff,,Four Sill General Trading & Contracting Establishment,null,"[""965 4731888""]",null
60cb2e2bcb87d4e553802200,,Five Stars Establishment,null,"[""965 2454416""]",null
60cb2e2ccb87d4e553802201,Po Box 26260 13123 Safat,Golden Dalla Household Company,null,"[""965 4726274""]",null
60cb2e2ccb87d4e553802202,,Gardenia Center Company,null,"[""965 5755558""]",null
60cb2e2ccb87d4e553802203,,Four Star Electricals Contracting Company,null,"[""965 5645740""]",null
60cb2e2ccb87d4e553802204,P.O.Box: 47226 Fahaheel 64023,FIVE STARS TRADING CO.,null,"[""9653989464""]",null
60cb2e2ccb87d4e553802205,"Po Box 42371 70654 Shuwaikh, , Kuwait",Fosroc Division,null,"[""965 4817618""]",null
60cb2e2dcb87d4e553802206,,Qadam Al Khayer Establishment,null,"[""965 4745002""]",null
60cb2e2dcb87d4e553802207,,Polyglass Factory,null,"[""965 4710496""]",null
60cb2e2dcb87d4e553802208,,Qaiss Al Ghanim Establishment,null,"[""965 4838571""]",null
60cb2e2dcb87d4e553802209,,Power Trading & Contracting Company,null,"[""965 2432516""]",null
60cb2e2dcb87d4e55380220a,,Oscar Net General Trading & Contracting Establishment,null,"[""965 2626161""]",null
60cb2e2dcb87d4e55380220b,,Othman Al Dakheel Butchery,null,"[""965 4839856""]",null
60cb2e2ecb87d4e55380220c,,Golden Al Fanoss General Trading & Contracting Establishment,null,"[""965 2660832""]",null
60cb2e2ecb87d4e55380220d,Po Box 21635 13077 Safat,Oasis Sa T Al Ghanim Establishment,null,"[""965 4834713""]",null
60cb2e2ecb87d4e55380220e,Po Box 31 44000 Sabah Al Salem,Oasis Electrical Company,null,"[""965 2612018""]",null
60cb2e2ecb87d4e55380220f,,Nour Center,null,"[""965 4831204""]",null
60cb2e2ecb87d4e553802210,,Nora National Center,null,"[""965 2444434""]",null
60cb2e2ecb87d4e553802211,,Nor Al Mizan Establishment For Fresh Meals,null,"[""965 4822905""]",null
60cb2e2ecb87d4e553802212,,Ncp,null,"[""965 3262266""]",null
60cb2e2fcb87d4e553802213,Po Box 24168 13102 Safat,Nissei Sangyo Company Limited,null,"[""965 2418262""]",null
60cb2e2fcb87d4e553802214,,National Industries Company Detergent Factory,null,"[""965 4731701""]",null
60cb2e2fcb87d4e553802215,,National Engineering & Contracting Company,null,"[""965 4842081""]",null
60cb2e2fcb87d4e553802216,,Nassar Al Shuraian Sons General Trade & Contracting Company,null,"[""965 2458881""]",null
60cb2e2fcb87d4e553802217,,Nasr Al Rajeeba Establishment,null,"[""965 4812500""]",null
60cb2e2fcb87d4e553802218,Po Box 5140 13052 Safat,Naser Ibrahim Al Saqabi General Trading & Contracting Establishment,null,"[""965 4832094""]",null
60cb2e2fcb87d4e553802219,,Najmat Al Sabah,null,"[""965 2434369""]",null
60cb2e2fcb87d4e55380221a,,Mukamis & Fernans Company W.L.L.,null,"[""965 2409572""]",null
60cb2e2fcb87d4e55380221b,Po Box 465 13005 Safat,Morad Yousuf Behbehani Company,null,"[""965 4810350""]",null
60cb2e30cb87d4e55380221c,,Mysore Textiles,null,"[""965 4331068""]",null
60cb2e30cb87d4e55380221d,"P.O.Box: 889, Safat 13009, , Kuwait",MUSAED ABDULLA AL SAYER,null,"[""9652432700"",""2424324""]",null
60cb2e30cb87d4e55380221e,,Muhalhel Al Nisf Sons,null,"[""965 2645394""]",null
60cb2e30cb87d4e55380221f,Po Box 186 13002 Safat,Mohd Naser Al Sayer Company,null,"[""965 2421301""]",null
